group,Team,Year,name,value,,,,,,,,,,,
O,WPG,14_15,Kane,3.556,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kane"",""value"":3.556,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Bogosian,3.484,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Bogosian"",""value"":3.484,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Budaj,0.475,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Budaj"",""value"":0.475,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Klingberg,0.038,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Klingberg"",""value"":0.038,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Cormier,0.121,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Cormier"",""value"":0.121,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Brouillette,0.113,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Brouillette"",""value"":0.113,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Ehlers,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ehlers"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Morrissey,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Morrissey"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Armia,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Armia"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Olkinuora,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Olkinuora"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Holland,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Holland"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Comrie,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Comrie"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Kosmachuk,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kosmachuk"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Petan,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Petan"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Olsen,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Olsen"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Lipon,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Lipon"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Telegin,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Telegin"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Melchiori,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Melchiori"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Brassard,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Brassard"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Kichton,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kichton"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Blomqvist,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Blomqvist"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,Albert,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Albert"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
O,WPG,14_15,O'Neill,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""O'Neill"",""value"":0,""group"":""O"",""team"":""WPG"",""year"":""14_15""},"
F,WAS,14_15,Ovechkin,9.538,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ovechkin"",""value"":9.538,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Backstrom,6.7,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Backstrom"",""value"":6.7,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Laich,4.5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Laich"",""value"":4.5,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Brouwer,3.667,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Brouwer"",""value"":3.667,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Ward,3,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ward"",""value"":3,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Kuznetsov,2.825,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kuznetsov"",""value"":2.825,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Chimera,2,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Chimera"",""value"":2,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Johansson,2,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Johansson"",""value"":2,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Fehr,1.5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Fehr"",""value"":1.5,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Wilson,1.238,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Wilson"",""value"":1.238,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Beagle,0.9,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Beagle"",""value"":0.9,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Burakovsky,0.736,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Burakovsky"",""value"":0.736,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Glencross,0.576,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Glencross"",""value"":0.576,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Latta,0.575,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Latta"",""value"":0.575,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
F,WAS,14_15,Galiev,0.018,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Galiev"",""value"":0.018,""group"":""F"",""team"":""WAS"",""year"":""14_15""},"
