group,Team,Year,name,value,,,,,,,,,,,
O,STL,14_15,Leopold,0.398,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Leopold"",""value"":0.398,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Paajarvi,0.152,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Paajarvi"",""value"":0.152,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Mueller,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Mueller"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Paajarvi,0.535,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Paajarvi"",""value"":0.535,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Ferriero,0.061,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ferriero"",""value"":0.061,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Binnington,0.029,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Binnington"",""value"":0.029,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Fraser,0.007,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Fraser"",""value"":0.007,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,McCarthy,0.003,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""McCarthy"",""value"":0.003,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Sobotka,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sobotka"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Cracknell,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Cracknell"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Fabbri,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Fabbri"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Barbashev,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Barbashev"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Edmundson,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Edmundson"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Vannelli,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Vannelli"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Hakanpaa,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hakanpaa"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Lundstrom,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Lundstrom"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Veilleux,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Veilleux"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Pochiro,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Pochiro"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Beach,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Beach"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Tesink,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Tesink"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Doty,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Doty"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Sergeev,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sergeev"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,McRae,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""McRae"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Shields,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Shields"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Wannstrom,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Wannstrom"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Cannone,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Cannone"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Regner,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Regner"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Welsh,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Welsh"",""value"":0,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
O,STL,14_15,Lindbohm,-1.163,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Lindbohm"",""value"":-1.163,""group"":""O"",""team"":""STL"",""year"":""14_15""},"
F,SJS,14_15,Thornton,6.75,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Thornton"",""value"":6.75,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Marleau,6.667,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Marleau"",""value"":6.667,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Couture,6,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Couture"",""value"":6,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Pavelski,6,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Pavelski"",""value"":6,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Wingels,2.475,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Wingels"",""value"":2.475,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Torres,2,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Torres"",""value"":2,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Hertl,1.314,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hertl"",""value"":1.314,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Brown,1.2,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Brown"",""value"":1.2,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Nieto,0.925,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Nieto"",""value"":0.925,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Scott,0.7,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Scott"",""value"":0.7,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Karlsson,0.617,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Karlsson"",""value"":0.617,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Tierney,0.543,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Tierney"",""value"":0.543,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Smith,0.331,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Smith"",""value"":0.331,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
F,SJS,14_15,Lerg,0.019,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Lerg"",""value"":0.019,""group"":""F"",""team"":""SJS"",""year"":""14_15""},"
D,SJS,14_15,Burns,5.76,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Burns"",""value"":5.76,""group"":""D"",""team"":""SJS"",""year"":""14_15""},"
D,SJS,14_15,Vlasic,4.25,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Vlasic"",""value"":4.25,""group"":""D"",""team"":""SJS"",""year"":""14_15""},"
D,SJS,14_15,Braun,1.25,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Braun"",""value"":1.25,""group"":""D"",""team"":""SJS"",""year"":""14_15""},"
D,SJS,14_15,Mueller,1.199,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Mueller"",""value"":1.199,""group"":""D"",""team"":""SJS"",""year"":""14_15""},"
D,SJS,14_15,Hannan,1,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hannan"",""value"":1,""group"":""D"",""team"":""SJS"",""year"":""14_15""},"
D,SJS,14_15,Irwin,1,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Irwin"",""value"":1,""group"":""D"",""team"":""SJS"",""year"":""14_15""},"
D,SJS,14_15,Dillon,0.954,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Dillon"",""value"":0.954,""group"":""D"",""team"":""SJS"",""year"":""14_15""},"
D,SJS,14_15,Fedun,0.061,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Fedun"",""value"":0.061,""group"":""D"",""team"":""SJS"",""year"":""14_15""},"
D,SJS,14_15,Stollery,0.033,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Stollery"",""value"":0.033,""group"":""D"",""team"":""SJS"",""year"":""14_15""},"
G,SJS,14_15,Niemi,3.8,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Niemi"",""value"":3.8,""group"":""G"",""team"":""SJS"",""year"":""14_15""},"
G,SJS,14_15,Stalock,1.6,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Stalock"",""value"":1.6,""group"":""G"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Kennedy,1.832,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kennedy"",""value"":1.832,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Sheppard,1.006,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sheppard"",""value"":1.006,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Demers,0.908,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Demers"",""value"":0.908,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Demers,0.804,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Demers"",""value"":0.804,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Burish,0.696,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Burish"",""value"":0.696,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Desjardins,0.585,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Desjardins"",""value"":0.585,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Nabokov,0.483,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Nabokov"",""value"":0.483,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,McGinn,0.468,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""McGinn"",""value"":0.468,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Desjardins,0.083,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Desjardins"",""value"":0.083,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Hamilton,0.033,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hamilton"",""value"":0.033,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Havlat,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Havlat"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Goodrow,0.526,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Goodrow"",""value"":0.526,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Burish,0.458,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Burish"",""value"":0.458,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Tennyson,0.259,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Tennyson"",""value"":0.259,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Tarasov,0.189,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Tarasov"",""value"":0.189,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Grosenick,0.091,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Grosenick"",""value"":0.091,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,DeMelo,0.035,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""DeMelo"",""value"":0.035,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Hayes,0.032,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hayes"",""value"":0.032,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Haley,0.029,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Haley"",""value"":0.029,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Jevpalovs,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Jevpalovs"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Bergman,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Bergman"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Carpenter,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Carpenter"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Chartier,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Chartier"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Emanuelsson,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Emanuelsson"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Abeltshauser,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Abeltshauser"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Schwartz,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Schwartz"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Crane,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Crane"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Anderson,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Anderson"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Doherty,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Doherty"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Dell,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Dell"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
O,SJS,14_15,Oleksuk,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Oleksuk"",""value"":0,""group"":""O"",""team"":""SJS"",""year"":""14_15""},"
F,PIT,14_15,Malkin,9.5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Malkin"",""value"":9.5,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Crosby,8.7,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Crosby"",""value"":8.7,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Hornqvist,4.25,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hornqvist"",""value"":4.25,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Kunitz,3.85,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kunitz"",""value"":3.85,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Dupuis,3.75,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Dupuis"",""value"":3.75,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Sutter,3.3,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sutter"",""value"":3.3,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Spaling,2.2,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Spaling"",""value"":2.2,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Perron,2.05,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Perron"",""value"":2.05,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Downie,1,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Downie"",""value"":1,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Bennett,0.9,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Bennett"",""value"":0.9,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Adams,0.7,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Adams"",""value"":0.7,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Comeau,0.7,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Comeau"",""value"":0.7,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Lapierre,0.438,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Lapierre"",""value"":0.438,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
F,PIT,14_15,Winnik,0.161,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Winnik"",""value"":0.161,""group"":""F"",""team"":""PIT"",""year"":""14_15""},"
D,PIT,14_15,Letang,7.25,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Letang"",""value"":7.25,""group"":""D"",""team"":""PIT"",""year"":""14_15""},"
D,PIT,14_15,Martin,5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Martin"",""value"":5,""group"":""D"",""team"":""PIT"",""year"":""14_15""},"
D,PIT,14_15,Ehrhoff,4,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ehrhoff"",""value"":4,""group"":""D"",""team"":""PIT"",""year"":""14_15""},"
D,PIT,14_15,Scuderi,3.375,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Scuderi"",""value"":3.375,""group"":""D"",""team"":""PIT"",""year"":""14_15""},"
D,PIT,14_15,Maatta,0.894,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Maatta"",""value"":0.894,""group"":""D"",""team"":""PIT"",""year"":""14_15""},"
D,PIT,14_15,Pouliot,0.589,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Pouliot"",""value"":0.589,""group"":""D"",""team"":""PIT"",""year"":""14_15""},"
D,PIT,14_15,Lovejoy,0.242,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Lovejoy"",""value"":0.242,""group"":""D"",""team"":""PIT"",""year"":""14_15""},"
D,PIT,14_15,Cole,0.182,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Cole"",""value"":0.182,""group"":""D"",""team"":""PIT"",""year"":""14_15""},"
D,PIT,14_15,Chorney,0.044,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Chorney"",""value"":0.044,""group"":""D"",""team"":""PIT"",""year"":""14_15""},"
G,PIT,14_15,Fleury,5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Fleury"",""value"":5,""group"":""G"",""team"":""PIT"",""year"":""14_15""},"
G,PIT,14_15,Greiss,1,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Greiss"",""value"":1,""group"":""G"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Goc,0.723,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Goc"",""value"":0.723,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Despres,0.702,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Despres"",""value"":0.702,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Bortuzzo,0.468,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Bortuzzo"",""value"":0.468,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Sill,0.411,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sill"",""value"":0.411,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Klinkhammer,0.094,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Klinkhammer"",""value"":0.094,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Arcobello,0.09,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Arcobello"",""value"":0.09,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Harrington,0.299,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Harrington"",""value"":0.299,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Ebbett,0.245,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ebbett"",""value"":0.245,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Rust,0.165,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Rust"",""value"":0.165,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Wilson,0.153,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Wilson"",""value"":0.153,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Megna,0.146,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Megna"",""value"":0.146,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Dumoulin,0.131,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Dumoulin"",""value"":0.131,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Farnham,0.08,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Farnham"",""value"":0.08,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Zatkoff,0.023,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Zatkoff"",""value"":0.023,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Uher,0.01,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Uher"",""value"":0.01,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Drazenovic,0.009,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Drazenovic"",""value"":0.009,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Kapanen,0.005,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kapanen"",""value"":0.005,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Archibald,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Archibald"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Ruopp,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Ruopp"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Sundqvist,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sundqvist"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Murray,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Murray"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Jarry,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Jarry"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Payerl,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Payerl"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Kuhnhackl,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Kuhnhackl"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,D'Agostino,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""D'Agostino"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Marcantuoni,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Marcantuoni"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
O,PIT,14_15,Zlobin,0,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Zlobin"",""value"":0,""group"":""O"",""team"":""PIT"",""year"":""14_15""},"
